Number,Easting,Northing,Elevation,Code
3089,481506.2154,1848221.584,383.3658,SP
3090,481495.8642,1848217.167,381.3009,SP
3091,481481.6738,1848215.278,388.6121,SP
3092,481470.0769,1848209.958,393.9869,SP
3093,481458.1729,1848201.538,399.5524,SP
3094,481444.9697,1848194.042,406.3489,SP
3095,481422.2011,1848188.157,414.9077,SP
3096,481407.9635,1848173.887,420.1833,SP
3097,481376.9679,1848159.483,426.155,SP
3098,481383.5307,1848149.868,428.59,SP
3099,481393.7401,1848129.171,431.8258,SP
3100,481394.1557,1848120.036,428.1713,SP
3101,481400.6369,1848097.048,431.9195,SP
3102,481404.5582,1848079.894,428.7098,SP
3103,481413.1412,1848082.03,426.4089,SP
3104,481421.7811,1848086.49,423.9237,SP
3105,481435.2883,1848088.824,419.7178,SP
3106,481443.7608,1848093.04,416.4281,SP
3107,481454.6157,1848096.278,412.6689,SP
3108,481463.7742,1848101.695,408.2161,SP
3109,481473.0275,1848103.713,402.8369,SP
3110,481481.4316,1848107.559,397.6504,SP
3111,481488.8541,1848112.617,392.9447,SP
3112,481505.1209,1848117.682,386.5585,SP
3113,481517.9987,1848119.169,383.212,SP
3114,481529.8467,1848125.317,378.3004,SP
3115,481466.7848,1847997.6,388.9353,SP
3116,481457.7422,1847999.287,393.1591,SP
3117,481468.9316,1847996.681,388.3108,SP
3118,481545.0206,1848124.289,373.5789,SP
3119,481556.499,1848124.555,369.7695,SP
3120,481566.294,1848125.81,363.9095,SP
3121,481577.6796,1848135.058,360.917,SP
3122,481590.3204,1848134.934,356.8744,SP
3123,481611.6822,1848140.328,351.2615,SP
3124,481633.3829,1848143.016,344.0789,SP
3125,481652.4237,1848155.642,344.8284,SP
3126,481666.1366,1848172.124,340.5479,SP
3127,481669.9251,1848173.506,339.5802,SP
3128,481615.3324,1848048.514,331.0128,SP
3129,481610.2705,1848049.549,329.3541,SP
3130,481605.9095,1848048.084,329.2215,SP
3131,481580.7939,1848048.918,336.9033,SP
3132,481585.7118,1848048.578,334.8878,SP
3133,481589.3912,1848048.002,332.4034,SP
3134,481594.5503,1848049.193,330.2804,SP
3135,481598.9373,1848048.305,329.3002,SP
3136,481619.0279,1848046.718,331.9361,SP
3137,481634.6571,1848046.503,335.2644,SP
3138,481656.2414,1848048.842,335.6166,SP
3139,481675.6251,1848055.802,335.7394,SP
3140,481701.005,1848054.926,336.6459,SP
3141,481725.7314,1848057.529,336.1192,SP
3142,481731.938,1848061.608,333.8626,SP
3143,481733.0967,1848065.937,333.7939,SP
3144,481736.3945,1848066.744,331.283,SP
3145,481749.6945,1848060.411,330.1935,SP
